"Email is Null, Please enter email in your %1 profile","El correu electrònic és NULL. Introduïu el correu electrònic al vostre perfil %1"
"Data error. Please try again.","Error de dades. Siusplau torna-ho a provar."
"Create an account successfully. Please wait...","Crea un compte amb èxit. Espereu ..."
"Ooophs, we got an error: %1","Ooophs, tenim un error: %1"
Orange,taronja
Green,Verd
"Dark Blue","Blau fosc"
Pink,Rosa
Red,Vermell
Violet,violeta
Zoom,Zoom
Newspaper,Diari
"Horizontal move","Moviment horitzontal"
"Move from top","Mou de la part superior"
"3D unfold","3D es desplega"
Zoom-out,"Disminuir el zoom"
"Customer Login Page","Pàgina d'inici de sessió al client"
"Customer Create Page","Client Crea Pàgina"
"Login By %1","Inicia la sessió per %1"
"Sign in with %1","Inicieu la sessió amb %1"
"Create New Account?","Crear un nou compte?"
"Or Sign In With","O inicieu la sessió"
"Create New Account","Crear un nou compte"
"Forgot Password","Has oblidat la contrasenya"
"Social Login","Accés social"
"Send Password To Customer","Enviar contrasenya al client"
"Show Social Login Buttons on","Mostra botons d'inici de sessió social a"
"Use Popup Login","Utilitza l'inici de sessió emergent"
"Popup Effect","Efecte emergent"
"Style Management","Gestió d'estils"
"Custom Color","Color personalitzat"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://developers.facebook.com/apps"" target=""_bank"">aquí</a>"
"Facebook App Secret","Secret de l'aplicació de Facebook"
"Valid OAuth redirect URIs","URIs de redirecció OAuth vàlids"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://code.google.com/apis/console/"" target=""_bank"">aquí</a>"
"Client ID","Identificador de client"
"Client Secret","Secret del client"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://dev.twitter.com/apps"" target=""_bank"">aquí</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">aquí</a>"
"Secret Client","Client secret"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">aquí</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">aquí</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">aquí</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://new.vk.com/dev"" target=""_bank"">aquí</a>"
"Application ID","ID d'aplicació"
"Secure Key","Clau segura"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Creeu l'aplicació <a href=""https://github.com/settings/applications/new"" target=""_bank"">aquí</a>"
