"Email is Null, Please enter email in your %1 profile","Email er Null, venligst indtast email i din %1 profil"
"Data error. Please try again.","Datafejl. Prøv igen."
"Create an account successfully. Please wait...","Opret en konto med succes. Vent venligst..."
"Ooophs, we got an error: %1","Ooophs, vi fik en fejl: %1"
Orange,orange
Green,Grøn
"Dark Blue",Mørkeblå
Pink,Lyserød
Red,Rød
Violet,Violet
Zoom,Zoom
Newspaper,Avis
"Horizontal move","Vandret bevægelse"
"Move from top","Flyt fra toppen"
"3D unfold","3D udfolder sig"
Zoom-out,"Zoome ud"
"Customer Login Page","Kunde login side"
"Customer Create Page","Kunde Opret Side"
"Social Popup Login","Social popup-login"
"Login By %1","Log ind af %1"
"Sign in with %1","Log ind med %1"
"Create New Account?","Opret ny konto?"
"Or Sign In With","Eller Log ind med"
"Create New Account","Opret ny konto"
"Forgot Password","Glemt kodeord"
"Go back","Gå tilbage"
"Social Login","Social login"
"Send Password To Customer","Send adgangskode til kunde"
"Show Social Login Buttons on","Vis sociale login knapper på"
"Use Popup Login","Brug popup-login"
"Popup Effect",Popup-effekt
"Style Management","Style Management"
"Custom Color","Brugerdefineret farve"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Opret app <a href=""https://developers.facebook.com/apps"" target=""_bank"">her</a>"
"Facebook App Id","Facebook App Id"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Gyldige OAuth omdirigere URI'er"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Opret app <a href=""https://code.google.com/apis/console/"" target=""_bank"">her</a>"
"Client ID",Klient-id
"Client Secret","Client Secret"
"REDIRECT URIS","REDIREKER URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Opret app <a href=""https://dev.twitter.com/apps"" target=""_bank"">her</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Opret app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">her</a>"
"Id Client",Id-klient
"Secret Client","Secret Client"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Opret app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">her</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Opret app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">her</a>"
"Callback Url","Tilbagekaldelse Url"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Opret app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">her</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Opret app <a href=""https://new.vk.com/dev"" target=""_bank"">her</a>"
"Application ID",Ansøgnings-id
"Secure Key","Secure Key"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Opret app <a href=""https://github.com/settings/applications/new"" target=""_bank"">her</a>"
