"Email is Null, Please enter email in your %1 profile","Το ηλεκτρονικό ταχυδρομείο είναι μηδέν, εισάγετε το email στο προφίλ σας %1"
"Data error. Please try again.","Σφάλμα δεδομένων. ΠΑΡΑΚΑΛΩ προσπαθησε ξανα."
"Create an account successfully. Please wait...","Δημιουργήστε έναν λογαριασμό με επιτυχία. Παρακαλώ περιμένετε..."
"Ooophs, we got an error: %1","Ooophs, πήραμε ένα λάθος: %1"
Orange,Πορτοκάλι
Green,Πράσινος
"Dark Blue","Σκούρο μπλε"
Pink,Ροζ
Red,"το κόκκινο"
Violet,Βιολέτα
Zoom,"Ανίπταμαι διαγωνίως"
Newspaper,Εφημερίδα
"Horizontal move","Οριζόντια κίνηση"
"Move from top","Μετακίνηση από την κορυφή"
"3D unfold","Το 3D ξεδιπλώνεται"
Zoom-out,Σμίκρυνση
"Customer Login Page","Σελίδα σύνδεσης με τον πελάτη"
"Customer Create Page","Πελάτης Δημιουργία σελίδας"
"Login By %1","Σύνδεση με %1"
"Sign in with %1","Συνδεθείτε με το %1"
"Create New Account?","Δημιουργία νέου λογαριασμού?"
"Or Sign In With","Ή Σύνδεση με"
"Create New Account","Δημιουργία νέου λογαριασμού"
"Forgot Password","Ξεχάσατε τον κωδικό"
"Social Login","Κοινωνική σύνδεση"
"Send Password To Customer","Αποστολή κωδικού πρόσβασης στον πελάτη"
"Show Social Login Buttons on","Εμφάνιση κουμπιών κοινωνικής σύνδεσης στο"
"Use Popup Login","Χρήση σύνδεσης αναδυόμενων παραθύρων"
"Popup Effect","Δημοφιλές αποτέλεσμα"
"Style Management","Διαχείριση στυλ"
"Custom Color","Προσαρμοσμένο χρώμα"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://developers.facebook.com/apps"" target=""_bank"">εδώ</a>"
"Facebook App Secret","Facebook Μυστικό App"
"Valid OAuth redirect URIs","Ισχύουν URIs ανακατεύθυνσης OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://code.google.com/apis/console/"" target=""_bank"">εδώ</a>"
"Client ID","ταυτότητα πελάτη"
"Client Secret","Πελάτη μυστικό"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Κελάδημα
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://dev.twitter.com/apps"" target=""_bank"">εδώ</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">εδώ</a>"
"Secret Client","Μυστικός πελάτης"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">εδώ</a>"
Foursquare,Τετράγωνο
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">εδώ</a>"
Instagram,Ίνσταγκραμ
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">εδώ</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://new.vk.com/dev"" target=""_bank"">εδώ</a>"
"Application ID","Αναγνωριστικό εφαρμογής"
"Secure Key","Ασφαλές κλειδί"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Δημιουργήστε την εφαρμογή <a href=""https://github.com/settings/applications/new"" target=""_bank"">εδώ</a>"
