"Data error. Please try again.","Data error. Please try again."
"Create an account successfully. Please wait...","Create an account successfully. Please wait..."
"Email is Null, Please enter email in your %1 profile","Email is Null, Please enter email in your %1 profile"
"Email already exists","Email already exists"
"Wrong password","Wrong password"
Success!,Success!
"Ooophs, we got an error: %1","Ooophs, we got an error: %1"
Orange,Orange
Green,Green
Grey,Grey
"Dark Blue","Dark Blue"
Pink,Pink
Red,Red
Violet,Violet
Zoom,Zoom
Newspaper,Newspaper
"Horizontal move","Horizontal move"
"Move from top","Move from top"
"3D unfold","3D unfold"
Zoom-out,Zoom-out
"Popup Login","Popup Login"
"Customer Login Page","Customer Login Page"
"Customer Create Page","Customer Create Page"
"Social Login Popup","Social Login Popup"
"Customer Authentication Popup","Customer Authentication Popup"
"Always Require","Always Require"
"If social account does not provide E-mail.","If social account does not provide E-mail."
"Login By %1","Login By %1"
"Sign in with %1","Sign in with %1"
"Create New Account?","Create New Account?"
"Or Sign In With","Or Sign In With"
"Create New Account","Create New Account"
"The information below is required for social login","The information below is required for social login"
"Please complete your information below to creat an account.","Please complete your information below to creat an account."
"Validate your login","Validate your login"
"Please complete your information below to login.","Please complete your information below to login."
"Forgot Password","Forgot Password"
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Social Login","Social Login"
"Send Password To Customer","Send Password To Customer"
"Require Enter Password","Require Enter Password"
"Require enter password confirmation when logging in with social for the first time on existing account.","Require enter password confirmation when logging in with social for the first time on existing account."
"Show Social Login Buttons on","Show Social Login Buttons on"
"Use Popup Login","Use Popup Login"
"Use Popup Login As Authentication Popup","Use Popup Login As Authentication Popup"
"Social Login popup will be used to replace Magento Default Login popup if ""Allow Guest Checkout"" is No.","Social Login popup will be used to replace Magento Default Login popup if ""Allow Guest Checkout"" is No."
"Popup Links Selector","Popup Links Selector"
"Require More Info.","Require More Info."
"Request the customer to enter information when creating an account.","Request the customer to enter information when creating an account."
"Information Required","Information Required"
"Popup Effect","Popup Effect"
"Style Management","Style Management"
"Custom Color","Custom Color"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Valid OAuth redirect URIs"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>"
"Client ID","Client ID"
"Client Secret","Client Secret"
"REDIRECT URIS","REDIRECT URIS"
Amazon,Amazon
"Create app <a href=""https://sellercentral.amazon.com/gp/homepage.html"" target=""_bank"">here</a>","Create app <a href=""https://sellercentral.amazon.com/gp/homepage.html"" target=""_bank"">here</a>"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>"
"ID Client","ID Client"
"Secret Client","Secret Client"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>"
"Application ID","Application ID"
"Secure Key","Secure Key"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>"
"Create app <a href=""https://account.live.com/developers/applications/create"" target=""_bank"">here</a>","Create app <a href=""https://account.live.com/developers/applications/create"" target=""_bank"">here</a>"
"Create app <a href=""https://developers.zalo.me/createapp"" target=""_bank"">here</a>","Create app <a href=""https://developers.zalo.me/createapp"" target=""_bank"">here</a>"
"Mageplaza Social Login","Mageplaza Social Login"
Zalo,Zalo
"Redirect URI(s)","Redirect URI(s)"
"Application secret key","Application secret key"
