"Email is Null, Please enter email in your %1 profile","Email est nul, S'il vous plaît entrez votre email dans votre profil %1"
"Data error. Please try again.","Erreur de donnée. Veuillez réessayer."
"Create an account successfully. Please wait...","Créez un compte avec succès. S'il vous plaît, attendez..."
"Ooophs, we got an error: %1","Ooophs, nous avons eu une erreur: %1"
Orange,Orange
Green,vert
"Dark Blue","Bleu foncé"
Pink,Rose
Red,rouge
Violet,Violet
Zoom,Zoom
Newspaper,Journal
"Horizontal move","Mouvement horizontal"
"Move from top","Déplacer du haut"
"3D unfold","Déplier 3D"
Zoom-out,Dézoomer
"Customer Login Page","Page de connexion du client"
"Customer Create Page","Page de création de client"
"Login By %1","Connexion par %1"
"Sign in with %1","Se connecter avec %1"
"Create New Account?","Créer un nouveau compte?"
"Or Sign In With","Ou connectez-vous avec"
"Create New Account","Créer un nouveau compte"
"Forgot Password","Mot de passe oublié"
"Social Login","Connexion sociale"
"Send Password To Customer","Envoyer le mot de passe au client"
"Show Social Login Buttons on","Afficher les boutons de connexion sociale sur"
"Use Popup Login","Utiliser la connexion au menu contextuel"
"Popup Effect","Effet pop-up"
"Style Management","Gestion de style"
"Custom Color","Couleur personnalisée"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Créer l'application <a href=""https://developers.facebook.com/apps"" target=""_bank"">ici</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URI de redirection OAuth valides"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Créer l'application <a href=""https://code.google.com/apis/console/"" target=""_bank"">ici</a>"
"Client ID","identité du client"
"Client Secret","Secret client"
"REDIRECT URIS","URIRE REDIRECT"
Twitter,Gazouillement
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Créer l'application <a href=""https://dev.twitter.com/apps"" target=""_bank"">ici</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Créer l'application <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">ici</a>"
"Secret Client","Client secret"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Créer l'application <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">ici</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Créer l'application <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">ici</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Créer l'application <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">ici</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Créer l'application <a href=""https://new.vk.com/dev"" target=""_bank"">ici</a>"
"Application ID","ID d'application"
"Secure Key","Clé sécurisée"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Créer l'application <a href=""https://github.com/settings/applications/new"" target=""_bank"">ici</a>"
