"Email is Null, Please enter email in your %1 profile","כתובת דוא""ל היא null, אנא הכנס את כתובת הדואר האלקטרוני שלך %1 פרופיל"
"Data error. Please try again.","שגיאת מידע. בבקשה נסה שוב."
"Create an account successfully. Please wait...","צור חשבון בהצלחה. המתן בבקשה..."
"Ooophs, we got an error: %1","Ooophs, יש לנו שגיאה: %1"
Orange,תפוז
Green,ירוק
"Dark Blue","כחול כהה"
Pink,וָרוֹד
Red,אָדוֹם
Violet,סָגוֹל
Zoom,זום
Newspaper,עיתון
"Horizontal move","מהלך אופקי"
"Move from top","מעבר מלמעלה"
"3D unfold","3D להתפתח"
Zoom-out,"להקטין את התצוגה"
"Customer Login Page","דף הכניסה של הלקוח"
"Customer Create Page","לקוח צור דף"
"Login By %1","התחברות עד %1"
"Sign in with %1","היכנס באמצעות %1"
"Create New Account?","ליצור חשבון חדש?"
"Or Sign In With","או להיכנס עם"
"Create New Account","ליצור חשבון חדש"
"Forgot Password","שכחת את הסיסמא"
"Social Login","התחברות חברתית"
"Send Password To Customer","שלח סיסמה ללקוח"
"Show Social Login Buttons on","הצג לחצני כניסה חברתיים ב"
"Use Popup Login","השתמש ב- Popup Login"
"Popup Effect","אפקט קופץ"
"Style Management","ניהול סגנון"
"Custom Color","צבע מותאם אישית"
Facebook,פייסבוק
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://developers.facebook.com/apps"" target=""_bank"">כאן</a>"
"Facebook App Secret","סוד פייסבוק"
"Valid OAuth redirect URIs","OAuth תקף מפנה כתובות URI"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://code.google.com/apis/console/"" target=""_bank"">כאן</a>"
"Client ID","מזהה לקוח"
"Client Secret","סוד הלקוח"
"REDIRECT URIS",הפוכה
Twitter,טוויטר
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://dev.twitter.com/apps"" target=""_bank"">כאן</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">כאן</a>"
"Secret Client","לקוח סודי"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">כאן</a>"
Foursquare,4
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">כאן</a>"
Instagram,אינסטגרם
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","צור אפליקציה <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">כאן</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://new.vk.com/dev"" target=""_bank"">כאן</a>"
"Application ID","מזהה יישום"
"Secure Key","מפתח מאובטח"
Github,גית'וב
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","צור אפליקציה <a href=""https://github.com/settings/applications/new"" target=""_bank"">כאן</a>"
