"Email is Null, Please enter email in your %1 profile","Az e-mail cím Null, kérjük írjon be e-mailt a %1 -es profiljába"
"Data error. Please try again.","Adathiba. Kérlek próbáld újra."
"Create an account successfully. Please wait...","Hozzon létre egy fiókot sikeresen. Kérlek várj..."
"Ooophs, we got an error: %1","Ooophs, hiba történt: %1"
Orange,narancs
Green,Zöld
"Dark Blue",Sötétkék
Pink,Rózsaszín
Red,Piros
Violet,Ibolya
Zoom,Zoomolás
Newspaper,Újság
"Horizontal move","Vízszintes mozgás"
"Move from top","Mozogjon a tetejéről"
"3D unfold","3D kibontakozás"
Zoom-out,Kicsinyítés
"Customer Login Page","Ügyfél belépési oldal"
"Customer Create Page","Ügyféloldalak létrehozása"
"Login By %1","Bejelentkezés %1-ig"
"Sign in with %1","Jelentkezzen be a %1-es verziójával"
"Create New Account?","Új fiók létrehozása?"
"Or Sign In With","Vagy jelentkezzen be"
"Create New Account","Új fiók létrehozása"
"Forgot Password","Elfelejtett jelszó"
"Social Login","Szociális belépés"
"Send Password To Customer","Jelszó küldése az ügyfélnek"
"Show Social Login Buttons on","Mutassa be a közösségi bejelentkezési gombokat"
"Use Popup Login","Használja a felugró bejelentkezést"
"Popup Effect","Popup effektus"
"Style Management",Stíluskezelés
"Custom Color","Egyéni szín"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developers.facebook.com/apps"" target=""_bank"">itt</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Érvényes OAuth átirányítási URI-k"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://code.google.com/apis/console/"" target=""_bank"">itt</a>"
"Client ID",Ügyfélazonosító
"Client Secret","Ügyfél titka"
"REDIRECT URIS","ÚJRENDEZÉS URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://dev.twitter.com/apps"" target=""_bank"">itt</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">itt</a>"
"Secret Client","Titkos ügyfél"
Yahoo,Jehu
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">itt</a>"
Foursquare,Négyszögben
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">itt</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">itt</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://new.vk.com/dev"" target=""_bank"">itt</a>"
"Application ID",Alkalmazásazonosító
"Secure Key","Biztonsági kulcs"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Alkalmazás létrehozása <a href=""https://github.com/settings/applications/new"" target=""_bank"">itt</a>"
