"Email is Null, Please enter email in your %1 profile","Email Null, Silahkan masukkan email anda %1 profil"
"Data error. Please try again.","Kesalahan Data. Silakan coba lagi."
"Create an account successfully. Please wait...","Membuat akun berhasil. Mohon tunggu..."
"Ooophs, we got an error: %1","Ooophs, kami mendapat sebuah kesalahan: %1"
Orange,Jeruk
Green,Hijau
"Dark Blue","Biru Tua"
Pink,"Merah Muda"
Red,Merah
Violet,Ungu
Zoom,Perbesar
Newspaper,"Surat kabar"
"Horizontal move","Pindah gerakan horizontal"
"Move from top","Pindah dari atas"
"3D unfold","3D terungkap"
Zoom-out,Perbesar-perkecil
"Customer Login Page","Halaman login pelanggan"
"Customer Create Page","Pelanggan Membuat Halaman"
"Login By %1","Masuk Dengan %1"
"Sign in with %1","Masuk dengan %1"
"Create New Account?","Buat Akun Baru?"
"Or Sign In With","Atau Masuk Dengan"
"Create New Account","Buat Akun Baru"
"Forgot Password","Lupa Kata sandi"
"Social Login","Masuk Sosial"
"Send Password To Customer","Kirim Password Ke Pelanggan"
"Show Social Login Buttons on","Acara Sosial Login Tombol pada"
"Use Popup Login","Menggunakan Popup Login"
"Popup Effect","Popup Efek"
"Style Management","Gaya Manajemen"
"Custom Color","Warna Kustom"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://developers.facebook.com/apps"" target=""_bank""> di sini</a>"
"Facebook App Secret","Rahasia aplikasi facebook"
"Valid OAuth redirect URIs","Berlaku OAuth mengarahkan Uri"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Pelajari selanjutnya <a href=""https://code.google.com/apis/console/"" target=""_bank"">disini</a>"
"Client ID","ID Klien"
"Client Secret","Rahasia Klien"
"REDIRECT URIS","Mengarahkan uri"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Pelajari selanjutnya <a href=""https://dev.twitter.com/apps"" target=""_bank"">disini</a>"
LinkedIn,Google+
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://www.linkedin.com/secure/developer"" target=""_bank""> di sini</a>"
"Secret Client","Rahasia Klien"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Buat aplikasi <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">di sini</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://www.foursquare.com/oauth/"" target=""_bank""> di sini</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Membuat aplikasi <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank""> di sini</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Buat aplikasi <a href=""https://new.vk.com/dev"" target=""_bank"">di sini</a>"
"Application ID","ID Aplikasi"
"Secure Key","Kunci Aman"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Membuat aplikasi <a href=""https://github.com/settings/applications/new"" target=""_bank""> di sini</a>"
