"Email is Null, Please enter email in your %1 profile","L'email è Null, Inserisci l'email nel tuo %1 profilo"
"Data error. Please try again.","Errore dati. Si prega di riprovare."
"Create an account successfully. Please wait...","Accounte creato con successo. Attendere prego..."
"Ooophs, we got an error: %1","Ooophs, è avvenuto un errore:%1"
Orange,Arancione
Green,Verde
"Dark Blue","Blu scuro"
Pink,Rosa
Red,Rosso
Violet,Viola
Zoom,Ingrandisci
Newspaper,Giornale
"Horizontal move","Spostamento orizzontale"
"Move from top","Sposta dall'alto"
"3D unfold","Lo sviluppo 3D"
Zoom-out,"Diminuisci zoom"
"Customer Login Page","Pagina accesso cliente"
"Customer Create Page","Crea pagina cliente"
"Login By %1","Accedi da %1"
"Sign in with %1","Registrati con %1"
"Create New Account?","Creare un nuovo account?"
"Or Sign In With","Oppure accedi con"
"Create New Account","Creare un nuovo account"
"Forgot Password","Password dimenticata"
"Social Login","Entra con i social"
"Send Password To Customer","Invia password al cliente"
"Show Social Login Buttons on","Mostra pulsanti di accesso Social"
"Use Popup Login","Usa accesso popup"
"Popup Effect","Effetto popup"
"Style Management","Gestione stile"
"Custom Color","Colore personalizzato"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Crea app <a href=""https://developers.facebook.com/apps"" target=""_bank"">qui</a>"
"Facebook App Secret","App Secret Facebook"
"Valid OAuth redirect URIs","OAuth valido reindirizzare gli URL"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Crea app <a href=""https://code.google.com/apis/console/"" target=""_bank"">qui</a>"
"Client ID","Id cliente"
"Client Secret","Secret Cliente"
"REDIRECT URIS","Reindirizzare gli URL"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Crea app<a href=""https://dev.twitter.com/apps"" target=""_bank"">qui</a>"
LinkedIn,Linkedln
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Crea app<a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">qui</a>"
"Secret Client","Secret Cliente"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Crea app<a href=""https://developer.yahoo.com/apps/"" target=""_bank"">qui</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Crea app<a href=""https://www.foursquare.com/oauth/"" target=""_bank"">qui</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Crea app<a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">qui</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Crea app <a href=""https://new.vk.com/dev"" target=""_bank"">qui</a>"
"Application ID","Id richiesta"
"Secure Key","Chiave di sicurezza"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Crea app <a href=""https://github.com/settings/applications/new"" target=""_bank"">qui</a>"
