"Email is Null, Please enter email in your %1 profile","E-post er null, vennligst skriv inn e-post i %1 -profilen din"
"Data error. Please try again.","Datafeil. Vær så snill, prøv på nytt."
"Create an account successfully. Please wait...","Opprett en konto med hell. Vennligst vent..."
"Ooophs, we got an error: %1","Ooophs, vi fikk en feil: %1"
Orange,oransje
Green,Grønn
"Dark Blue","Mørke blå"
Pink,Rosa
Red,rød
Violet,Violet
Zoom,Zoom
Newspaper,Avis
"Horizontal move","Horisontal trekk"
"Move from top","Flytt fra toppen"
"3D unfold","3D utfolde seg"
Zoom-out,"Zoome ut"
"Customer Login Page",Kundeinnloggingsside
"Customer Create Page","Kundeopprett side"
"Login By %1","Logg inn av %1"
"Sign in with %1","Logg inn med %1"
"Create New Account?","Opprette ny konto?"
"Or Sign In With","Eller logg inn med"
"Create New Account","Opprette ny konto"
"Forgot Password","Glemt passord"
"Social Login","Sosial pålogging"
"Send Password To Customer","Send passord til kunde"
"Show Social Login Buttons on","Vis sosiale påloggingsknapper på"
"Use Popup Login","Bruk popup-pålogging"
"Popup Effect",Popup-effekt
"Style Management","Style Management"
"Custom Color","Tilpasset farge"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Opprett app <a href=""https://developers.facebook.com/apps"" target=""_bank"">her</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Gyldig OAuth-omdirigering av URIer"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Opprett app <a href=""https://code.google.com/apis/console/"" target=""_bank"">her</a>"
"Client ID",klient-ID
"Client Secret",Klientshemmelighet
"REDIRECT URIS","REDIREKTE URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Opprett app <a href=""https://dev.twitter.com/apps"" target=""_bank"">her</a>"
LinkedIn,Linkedin
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Opprett app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">her</a>"
"Secret Client","Secret Client"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Opprett app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">her</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Opprett app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">her</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Opprett app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">her</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Opprett app <a href=""https://new.vk.com/dev"" target=""_bank"">her</a>"
"Application ID",Program-ID
"Secure Key","Secure Key"
Github,GitHub
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Opprett app <a href=""https://github.com/settings/applications/new"" target=""_bank"">her</a>"
