"Email is Null, Please enter email in your %1 profile","E-mail ma wartość Null, wpisz adres e-mail w swoim profilu %1"
"Data error. Please try again.","Błąd danych. Proszę spróbuj ponownie."
"Create an account successfully. Please wait...","Utwórz konto z powodzeniem. Proszę czekać..."
"Ooophs, we got an error: %1","Ooophs, mamy błąd: %1"
Orange,Pomarańczowy
Green,Zielony
"Dark Blue","Ciemny niebieski"
Pink,Różowy
Red,Czerwony
Violet,Fioletowy
Zoom,Powiększenie
Newspaper,Gazeta
"Horizontal move","Ruch poziomy"
"Move from top","Przejdź od góry"
"3D unfold","Rozwiń 3D"
Zoom-out,Pomniejszenie
"Customer Login Page","Strona logowania klienta"
"Customer Create Page","Klient Utwórz stronę"
"Social Popup Login","Social Popup Zaloguj się"
"Login By %1","Zaloguj się przez %1"
"Sign in with %1","Zaloguj się przy pomocy %1"
"Create New Account?","Stwórz nowe konto?"
"Or Sign In With","Lub Zaloguj się"
"Create New Account","Stwórz nowe konto"
"Forgot Password","Zapomniałeś hasła"
"Go back",Wróć
"Social Login","Logowanie społecznościowe"
"Send Password To Customer","Wyślij hasło do klienta"
"Show Social Login Buttons on","Pokaż przyciski logowania społecznościowego włączone"
"Use Popup Login","Użyj wyskakującego logowania"
"Popup Effect","Efekt pop-up"
"Style Management","Zarządzanie stylem"
"Custom Color","Niestandardowy kolor"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developers.facebook.com/apps"" target=""_bank"">tutaj</a>"
"Facebook App Id","Identyfikator aplikacji Facebook"
"Facebook App Secret","Tajemnica aplikacji na Facebooku"
"Valid OAuth redirect URIs","Prawidłowe identyfikatory URI przekierowania OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://code.google.com/apis/console/"" target=""_bank"">tutaj</a>"
"Client ID","Identyfikator klienta"
"Client Secret","Sekret klienta"
"REDIRECT URIS","REDIRECT URIS"
Twitter,Świergot
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://dev.twitter.com/apps"" target=""_bank"">tutaj</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">tutaj</a>"
"Id Client","Klient Id"
"Secret Client","Tajny klient"
Yahoo,Wieśniak
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">tutaj</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">tutaj</a>"
"Callback Url","URL oddzwonienia"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Utwórz aplikację <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">tutaj</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://new.vk.com/dev"" target=""_bank"">tutaj</a>"
"Application ID","ID aplikacji"
"Secure Key","Bezpieczny klucz"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Utwórz aplikację <a href=""https://github.com/settings/applications/new"" target=""_bank"">tutaj</a>"
