"Email is Null, Please enter email in your %1 profile","E-postadress är Null, Vänligen skriv in e-post i din %1 -profil"
"Data error. Please try again.","Datorfel. Var god försök igen."
"Create an account successfully. Please wait...","Skapa ett konto med framgång. Vänta..."
"Ooophs, we got an error: %1","Oooh, vi fick ett fel: %1"
Orange,Orange
Green,Grön
"Dark Blue",Mörkblå
Pink,Rosa
Red,Röd
Violet,Violett
Zoom,Zoom
Newspaper,Tidning
"Horizontal move","Horisontell dragning"
"Move from top","Flytta från toppen"
"3D unfold","3D utvecklas"
Zoom-out,"Zooma ut"
"Customer Login Page",Kundinloggningssida
"Customer Create Page","Kund Skapa sida"
"Login By %1","Logga in av %1"
"Sign in with %1","Logga in med %1"
"Create New Account?","Skapa nytt konto?"
"Or Sign In With","Eller logga in med"
"Create New Account","Skapa nytt konto"
"Forgot Password","Glömt ditt lösenord"
"Social Login","Social inloggning"
"Send Password To Customer","Skicka lösenord till kund"
"Show Social Login Buttons on","Visa sociala inloggningsknappar på"
"Use Popup Login","Använd popup-inloggning"
"Popup Effect",Popup-effekt
"Style Management","Style Management"
"Custom Color","Anpassad färg"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Skapa app <a href=""https://developers.facebook.com/apps"" target=""_bank"">här</a>"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","Giltiga OAuth-omdirigera URI-filer"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Skapa app <a href=""https://code.google.com/apis/console/"" target=""_bank"">här</a>"
"Client ID","Klient ID"
"Client Secret",Kundhemlighet
"REDIRECT URIS","REDIREKT URIS"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Skapa app <a href=""https://dev.twitter.com/apps"" target=""_bank"">här</a>"
LinkedIn,Linkedin
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Skapa app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">här</a>"
"Secret Client","Hemlig klient"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Skapa app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">här</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Skapa app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">här</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Skapa app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">här</a>"
Vkontakte,VKontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Skapa app <a href=""https://new.vk.com/dev"" target=""_bank"">här</a>"
"Application ID",ansöknings-ID
"Secure Key","Säker nyckel"
Github,github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Skapa app <a href=""https://github.com/settings/applications/new"" target=""_bank"">här</a>"
