"Email is Null, Please enter email in your %1 profile","E-posta Boş, Lütfen %1 profiliniz içerisinde e-posta girin"
"Data error. Please try again.","Veri Hatası. Lütfen tekrar deneyin."
"Create an account successfully. Please wait...","Hesap başarıyla oluşturuldu. Lütfen bekleyin..."
"Ooophs, we got an error: %1","Ooophs, bir hata aldık: %1"
Orange,Turuncu
Green,Yeşil
"Dark Blue","Koyu Mavi"
Pink,Pembe
Red,Kırmızı
Violet,Mor
Zoom,Yakınlaştır
Newspaper,Gazete
"Horizontal move","Yatay taşı"
"Move from top","Üste taşı"
"3D unfold","3D düzleştir"
Zoom-out,Uzaklaştır
"Customer Login Page","Müşteri Giriş Sayfası"
"Customer Create Page","Müşteri Oluşturma Sayfası"
"Login By %1","%1 olarak oturum aç"
"Sign in with %1","%1 ile giriş yap"
"Create New Account?","Yeni Hesap Oluştur?"
"Or Sign In With","Veya ile Giriş Yap"
"Create New Account","Yeni Hesap Oluştur"
"Forgot Password","Şifremi unuttum"
"Social Login","Sosyal Giriş"
"Send Password To Customer","Müşteriye Parola Gönder"
"Show Social Login Buttons on","Sosyal Giriş Butonlarını Göster"
"Use Popup Login","Popup Girişini Kullan"
"Popup Effect","Popup Efekti"
"Style Management","Stil Yönetimi"
"Custom Color","Özel Renk"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","<a href=""https://developers.facebook.com/apps"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Facebook App Secret","Facebook Uygulama Parolası"
"Valid OAuth redirect URIs","Geçerli OAuth yönlendirme URI'leri"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","<a href=""https://code.google.com/apis/console/"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Client ID","Müşteri Kimliği"
"Client Secret","Müşteri Parolası"
"REDIRECT URIS","URI'LERİ YÖNLENDİR"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","<a href=""https://dev.twitter.com/apps"" target=""_bank"">Buradan</a> uygulama oluşturun"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","<a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Secret Client","Gizli müşteri"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","<a href=""https://developer.yahoo.com/apps/"" target=""_bank"">Buradan</a> uygulama oluşturun"
Foursquare,FourSquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","<a href=""https://www.foursquare.com/oauth/"" target=""_bank"">Buradan</a> uygulama oluşturun"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","<a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">Buradan</a> uygulama oluşturun"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","<a href=""https://new.vk.com/dev"" target=""_bank"">Buradan</a> uygulama oluşturun"
"Application ID","Uygulama Kimliği"
"Secure Key","Güvenli Anahtar"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","<a href=""https://github.com/settings/applications/new"" target=""_bank"">Buradan</a> uygulama oluşturun"
