"Email is Null, Please enter email in your %1 profile","Електронна пошта Null, будь ласка, введіть електронний лист у вашому профілі %1"
"Data error. Please try again.","Помилка даних. Будь ласка спробуйте ще раз."
"Create an account successfully. Please wait...","Створіть обліковий запис успішно. Будь ласка, зачекайте ..."
"Ooophs, we got an error: %1","Ooophs, у нас виникла помилка: %1"
Orange,Апельсин
Green,Зелений
"Dark Blue",Темно-синій
Pink,Рожевий
Red,Червоний
Violet,Фіолетовий
Zoom,Збільшити
Newspaper,Газета
"Horizontal move","Горизонтальний хід"
"Move from top","Перемістити з вершини"
"3D unfold","3D розгорнутися"
Zoom-out,Зменшення
"Customer Login Page","Сторінка входу клієнта"
"Customer Create Page","Створити сторінку клієнта"
"Login By %1","Вхід до %1"
"Sign in with %1","Увійдіть, використовуючи %1"
"Create New Account?","Створити новий обліковий запис?"
"Or Sign In With","Або ввійдіть в систему"
"Create New Account","Створити новий обліковий запис"
"Forgot Password","Забули пароль"
"Social Login","Соціальний вхід"
"Send Password To Customer","Надіслати пароль для клієнта"
"Show Social Login Buttons on","Показати кнопки входу до соціальних мереж"
"Use Popup Login","Використовуйте вхід до спливаючих вікон"
"Popup Effect","Ефект спливаючих вікон"
"Style Management","Стиль управління"
"Custom Color","Користувацький колір"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Створіть додаток <a href=""https://developers.facebook.com/apps"" target=""_bank"">тут:</a>"
"Facebook App Secret","Facebook таємниця програми"
"Valid OAuth redirect URIs","Дійсні URI перенаправлення OAuth"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://code.google.com/apis/console/"" target=""_bank"">тут:</a>"
"Client ID","Ідентифікатор клієнта"
"Client Secret","Клієнтська таємниця"
"REDIRECT URIS","ПЕРЕГЛЯД УРІС"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Створіть додаток <a href=""https://dev.twitter.com/apps"" target=""_bank"">тут:</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Створіть додаток <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">тут:</a>"
"Secret Client","Секретний клієнт"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">тут:</a>"
Foursquare,Квадрат
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Створіть додаток <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">тут:</a>"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Створіть додаток <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">тут:</a>"
Vkontakte,Вконтакте
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Створіть додаток <a href=""https://new.vk.com/dev"" target=""_bank"">тут:</a>"
"Application ID","Ідентифікатор програми"
"Secure Key","Безпечний ключ"
Github,Гітуб
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Створіть додаток <a href=""https://github.com/settings/applications/new"" target=""_bank"">тут:</a>"
