"Email is Null, Please enter email in your %1 profile","Email là Null, Vui lòng nhập email trong tiểu sử %1 của bạn"
"Data error. Please try again.","Lỗi dữ liệu. Vui lòng thử lại."
"Create an account successfully. Please wait...","Tạo một tài khoản thành công. Vui lòng đợi ..."
"Ooophs, we got an error: %1","Ooophs, chúng tôi đã nhận được lỗi: %1"
Orange,"trái cam"
Green,"màu xanh lá"
"Dark Blue","Xanh đậm"
Pink,Hồng
Red,Đỏ
Violet,"màu tím"
Zoom,"Thu phóng"
Newspaper,"Báo chí"
"Horizontal move","Di chuyển ngang"
"Move from top","Di chuyển từ trên xuống"
"3D unfold","3D mở ra"
Zoom-out,"Thu nhỏ"
"Customer Login Page","Trang đăng nhập khách hàng"
"Customer Create Page","Trang tạo khách hàng"
"Social Popup Login","Social Popup Login"
"Login By %1","Đăng nhập theo %1"
"Sign in with %1","Đăng nhập với %1"
"Create New Account?","Tạo tài khoản mới?"
"Or Sign In With","Hoặc Đăng nhập bằng"
"Create New Account","Tạo tài khoản mới"
"Forgot Password","Quên mật khẩu"
"Go back","Quay lại"
"Social Login","Đăng nhập trên mạng xã hội"
"Send Password To Customer","Gửi mật khẩu cho khách hàng"
"Show Social Login Buttons on","Hiển thị nút đăng nhập trên mạng xã hội trên"
"Use Popup Login","Sử dụng Popup Login"
"Popup Effect","Hiệu ứng Popup"
"Style Management","Quản lý Phong cách"
"Custom Color","Tự phối màu"
Facebook,Facebook
"Create app <a href=""https://developers.facebook.com/apps"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://developers.facebook.com/apps"" target=""_bank"">tại đây</a>"
"Facebook App Id","Id ứng dụng Facebook"
"Facebook App Secret","Facebook App Secret"
"Valid OAuth redirect URIs","URI thay đổi OAuth hợp lệ"
Google,Google
"Create app <a href=""https://code.google.com/apis/console/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://code.google.com/apis/console/"" target=""_bank"">tại đây</a>"
"Client ID","Client ID"
"Client Secret","Khách hàng bí mật"
"REDIRECT URIS","URIS TRỰC TIẾP"
Twitter,Twitter
"Create app <a href=""https://dev.twitter.com/apps"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://dev.twitter.com/apps"" target=""_bank"">tại đây</a>"
LinkedIn,LinkedIn
"Create app <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://www.linkedin.com/secure/developer"" target=""_bank"">tại đây</a>"
"Id Client","Khách hàng Id"
"Secret Client","Khách hàng bí mật"
Yahoo,Yahoo
"Create app <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://developer.yahoo.com/apps/"" target=""_bank"">tại đây</a>"
Foursquare,Foursquare
"Create app <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://www.foursquare.com/oauth/"" target=""_bank"">tại đây</a>"
"Callback Url","Gọi lại URL"
Instagram,Instagram
"Create app <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""http://instagram.com/developer/clients/manage/"" target=""_bank"">tại đây</a>"
Vkontakte,Vkontakte
"Create app <a href=""https://new.vk.com/dev"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://new.vk.com/dev"" target=""_bank"">tại đây</a>"
"Application ID","ID ứng dụng"
"Secure Key","Khóa bảo mật"
Github,Github
"Create app <a href=""https://github.com/settings/applications/new"" target=""_bank"">here</a>","Tạo ứng dụng <a href=""https://github.com/settings/applications/new"" target=""_bank"">tại đây</a>"
